Feature,Importance
has_suspicious_path,0.673048198223114
suspicious_path_count,0.17993946373462677
special_char_count,0.05496940016746521
url_length,0.041496384888887405
subdomain_count,0.014912676066160202
domain_length,0.009835259988904
suspicious_pattern_score,0.009632148779928684
typosquatting_score,0.008470947854220867
url_entropy,0.007020368706434965
path_length,0.0005430499440990388
subdomain_length,0.0001321828895015642
query_length,0.0
fragment_length,0.0
path_depth,0.0
is_free_domain_provider,0.0
has_hex_encoding,0.0
hex_encoded_chars,0.0
has_ip_address,0.0
has_at_symbol,0.0
has_double_slash_redirect,0.0
has_data_uri,0.0
obfuscation_score,0.0
has_login_keywords,0.0
has_brand_in_subdomain,0.0
digit_count,0.0
digit_ratio,0.0
uppercase_count,0.0
has_unicode,0.0
punycode_detected,0.0
domain_age_days,0.0
is_recent_domain,0.0
registrar_suspicious,0.0
dns_record_exists,0.0
